feature,mean_abs_shap
Destination Port,0.012498434113004026
Init_Win_bytes_backward,0.01218874813007999
Total Length of Fwd Packets,0.011653404154449994
Average Packet Size,0.011367110106658291
Fwd Packet Length Max,0.010806928170896811
Packet Length Variance,0.010365216354781619
Fwd Packet Length Mean,0.009841081151145157
Total Length of Bwd Packets,0.009478217257440196
Flow Packets/s,0.009345876871586065
Bwd Packets/s,0.009104083913715118
Fwd IAT Std,0.008339851990588669
Init_Win_bytes_forward,0.007977649647636281
act_data_pkt_fwd,0.007055873316415389
Bwd Packet Length Min,0.0069562732024607615
PSH Flag Count,0.005039800712493713
Flow Bytes/s,0.0042335973502634515
Bwd IAT Total,0.003782748153437534
Flow IAT Min,0.0032557801542308753
Bwd IAT Mean,0.002919066819975076
ACK Flag Count,0.002692803978869626
Min Packet Length,0.002659718330751286
Bwd IAT Std,0.002586778751242905
Fwd Packet Length Min,0.0020944355649517
Active Mean,0.0017633280405110834
Down/Up Ratio,0.0015441382447879434
Idle Std,0.0014404696353877233
URG Flag Count,0.0007732046760412921
FIN Flag Count,0.0007390247483016407
Fwd PSH Flags,0.0005172540052737996
Active Std,0.00036887641351598607
Fwd URG Flags,1.2100987589776643e-06
ECE Flag Count,3.0158328511219187e-09
